index,age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend,video_url,space
51,1,1,1,3,0,2,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
52,1,1,1,3,0,3,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
53,1,1,1,3,0,4,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
54,1,1,1,3,0,5,시소우,https://www.youtube.com/watch?v=bGoseV7XdYg,0
55,1,1,1,3,2,1,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
56,1,1,1,3,2,2,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
57,1,1,1,3,2,3,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
58,1,1,1,3,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
59,1,1,1,3,2,5,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
60,1,1,0,0,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
61,1,1,0,0,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
62,1,1,0,0,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
63,1,1,0,0,1,4,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
64,1,1,0,0,1,5,수영,https://www.youtube.com/watch?v=Q9wCecncxAI,0
65,1,1,0,0,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
66,1,1,0,0,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
67,1,1,0,0,0,3,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
68,1,1,0,0,0,4,다리모아 무릎 누르기,https://www.youtube.com/watch?v=ETIxjvO9jIA,0
69,1,1,0,0,0,5,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
70,1,1,0,0,2,1,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
71,1,1,0,0,2,2,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
72,1,1,0,0,2,3,모관운동,https://www.youtube.com/watch?v=HaMZOnbpNpg,0
73,1,1,0,0,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
74,1,1,0,0,2,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
75,1,1,0,1,1,1,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
76,1,1,0,1,1,2,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
77,1,1,0,1,1,3,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
78,1,1,0,1,1,4,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
79,1,1,0,1,1,5,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
80,1,1,0,1,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
81,1,1,0,1,0,2,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
82,1,1,0,1,0,3,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
83,1,1,0,1,0,4,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
84,1,1,0,1,0,5,팔 벌려 뛰기,https://www.youtube.com/watch?v=weBc5JQ__50,0
85,1,1,0,1,2,1,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
86,1,1,0,1,2,2,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
87,1,1,0,1,2,3,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
88,1,1,0,1,2,4,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
89,1,1,0,1,2,5,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
90,1,1,0,2,1,1,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
91,1,1,0,2,1,2,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
92,1,1,0,2,1,3,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
93,1,1,0,2,1,4,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
94,1,1,0,2,1,5,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
95,1,1,0,2,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
96,1,1,0,2,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
97,1,1,0,2,0,3,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
98,1,1,0,2,0,4,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
99,1,1,0,2,0,5,팔 벌려 뛰기,https://www.youtube.com/watch?v=weBc5JQ__50,0
100,1,1,0,2,2,1,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
101,1,1,0,2,2,2,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
102,1,1,0,2,2,3,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
103,1,1,0,2,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
104,1,1,0,2,2,5,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
105,1,1,0,3,1,1,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
106,1,1,0,3,1,2,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
107,1,1,0,3,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
108,1,1,0,3,1,4,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
109,1,1,0,3,1,5,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
110,1,1,0,3,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
111,1,1,0,3,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
112,1,1,0,3,0,3,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
113,1,1,0,3,0,4,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
114,1,1,0,3,0,5,다리모아 무릎 누르기,https://www.youtube.com/watch?v=ETIxjvO9jIA,0
115,1,1,0,3,2,1,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
116,1,1,0,3,2,2,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
117,1,1,0,3,2,3,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
118,1,1,0,3,2,4,모관운동,https://www.youtube.com/watch?v=HaMZOnbpNpg,0
119,1,1,0,3,2,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
120,1,0,1,0,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
121,1,0,1,0,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
122,1,0,1,0,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
123,1,0,1,0,1,4,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
124,1,0,1,0,1,5,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
125,1,0,1,0,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
126,1,0,1,0,0,2,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
