age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend
10대,비만전단계비만,F,1등급,준비운동,4,시소우
10대,비만전단계비만,F,1등급,준비운동,5,목 돌리기
10대,비만전단계비만,F,1등급,마무리운동,1,정적 스트레칭  루틴프로그램
10대,비만전단계비만,F,1등급,마무리운동,2,온 몸 뻗어주기
10대,비만전단계비만,F,1등급,마무리운동,3,복식호흡
10대,비만전단계비만,F,1등급,마무리운동,4,짝 스트레칭  루틴프로그램
10대,비만전단계비만,F,1등급,마무리운동,5,동적 스트레칭 루틴프로그램
10대,비만전단계비만,F,2등급,본운동,1,줄넘기 운동
10대,비만전단계비만,F,2등급,본운동,2,맨몸운동  루틴프로그램
10대,비만전단계비만,F,2등급,본운동,3,버피 테스트
10대,비만전단계비만,F,2등급,본운동,4,조깅
10대,비만전단계비만,F,2등급,본운동,5,자전거타기
10대,비만전단계비만,F,2등급,준비운동,1,몸통 비틀기
10대,비만전단계비만,F,2등급,준비운동,2,정적 스트레칭  루틴프로그램
10대,비만전단계비만,F,2등급,준비운동,3,목 돌리기
10대,비만전단계비만,F,2등급,준비운동,4,팔 벌려 뛰기
10대,비만전단계비만,F,2등급,준비운동,5,시소우
10대,비만전단계비만,F,2등급,마무리운동,1,정적 스트레칭  루틴프로그램
10대,비만전단계비만,F,2등급,마무리운동,2,복식호흡
10대,비만전단계비만,F,2등급,마무리운동,3,동적 스트레칭 루틴프로그램
10대,비만전단계비만,F,2등급,마무리운동,4,짝 스트레칭  루틴프로그램
10대,비만전단계비만,F,2등급,마무리운동,5,온 몸 뻗어주기
10대,비만전단계비만,F,3등급,본운동,1,줄넘기 운동
10대,비만전단계비만,F,3등급,본운동,2,버피 테스트
10대,비만전단계비만,F,3등급,본운동,3,맨몸운동  루틴프로그램
10대,비만전단계비만,F,3등급,본운동,4,자전거타기
10대,비만전단계비만,F,3등급,본운동,5,조깅
10대,비만전단계비만,F,3등급,준비운동,1,몸통 비틀기
